mpg cylinders displacement horsepower weight acceleration model_year origin car_name
31.0 4 91.0 68.0 1970.0 17.6 82 3 mazda_glc_custom
38.0 4 105.0 63.0 2125.0 14.7 82 1 plymouth_horizon_miser
36.0 4 98.0 70.0 2125.0 17.3 82 1 mercury_lynx_l
36.0 4 120.0 88.0 2160.0 14.5 82 3 nissan_stanza_xe
36.0 4 107.0 75.0 2205.0 14.5 82 3 honda_accord
34.0 4 108.0 70.0 2245.0 16.9 82 3 toyota_corolla
38.0 4 91.0 67.0 1965.0 15.0 82 3 honda_civic
32.0 4 91.0 67.0 1965.0 15.7 82 3 honda_civic_(auto)
38.0 4 91.0 67.0 1995.0 16.2 82 3 datsun_310_gx
25.0 6 181.0 110.0 2945.0 16.4 82 1 buick_century_limited
38.0 6 262.0 85.0 3015.0 17.0 82 1 oldsmobile_cutlass_ciera_(diesel)
26.0 4 156.0 92.0 2585.0 14.5 82 1 chrysler_lebaron_medallion
22.0 6 232.0 112.0 2835.0 14.7 82 1 ford_granada_l
32.0 4 144.0 96.0 2665.0 13.9 82 3 toyota_celica_gt
36.0 4 135.0 84.0 2370.0 13.0 82 1 dodge_charger_2.2
27.0 4 151.0 90.0 2950.0 17.3 82 1 chevrolet_camaro
27.0 4 140.0 86.0 2790.0 15.6 82 1 ford_mustang_gl
44.0 4 97.0 52.0 2130.0 24.6 82 2 vw_pickup
32.0 4 135.0 84.0 2295.0 11.6 82 1 dodge_rampage
28.0 4 120.0 79.0 2625.0 18.6 82 1 ford_ranger
31.0 4 119.0 82.0 2720.0 19.4 82 1 chevy_s-10
